entry_time,entry_price,trade_type,stop_loss_price,target_price,amount_risked,exit_time,exit_price,exit_reason,pl,dollar_pl,percent_pl,win_or_loss,position_size
2022-12-06 10:15:00-05:00,178.575,Short,178.91237892516915,177.5628632244925483973929659,-85141587143476116977588.52000,2022-12-06 10:20:00-05:00,178.2376210748308494657976553,Other,0.3373789251691505342023447,-85141587143476116977588.51606,99.99999999999999999999999537,Win,-252361901683067389273286.9284
2022-12-13 09:55:00-05:00,161.415,Long,161.11739102766168,162.3078269170149530964408768,-26928457055631786801614225.80,2022-12-13 10:00:00-05:00,161.7126089723383176988136256,Other,0.2976089723383176988136256114,-26928457055631786801614224.77,99.99999999999999999999999618,Loss,-90482678811913960455046680.70
2022-12-13 10:00:00-05:00,160.415,Short,161.11739102766168,158.3078269170149530964408768,-2800777211206773241055373.651,2022-12-13 10:05:00-05:00,159.7126089723383176988136256,Other,0.7023910276616823011863744,-2800777211206773241055373.696,100.0000000000000000000000016,Win,-3987490017534523074560054.227
2022-12-14 10:10:00-05:00,159.29,Long,158.47800834027066,161.7259749791880130942445248,-3108199917592739085776825386,2022-12-14 10:15:00-05:00,160.1019916597293376980815082,Other,0.8119916597293376980815082788,-3108199917592739085776825085,99.99999999999999999999999032,Loss,-3827871727929816002182859666
2022-12-14 10:15:00-05:00,158.085,Short,158.47800834027066,156.9059749791880130942445248,-46129907887376199955444945.88,2022-12-14 10:20:00-05:00,157.6919916597293376980815082,Other,0.3930083402706623019184918,-46129907887376199955444955.13,100.0000000000000000000000201,Win,-117376409507255827617509457.9
2022-12-19 09:40:00-05:00,150.865,Long,150.54209626238213,151.8337112128536068667017389,-1.068060259178864628133185552E+28,2022-12-19 09:45:00-05:00,151.1879037376178689555672463,Other,0.3229037376178689555672463030,-1.068060259178864628133185542E+28,99.99999999999999999999999906,Loss,-3.307673881566615692566485133E+28
2022-12-19 09:50:00-05:00,150.065,Short,150.54209626238213,148.6337112128536068667017389,-430463180094711490896055398.6,2022-12-19 09:55:00-05:00,149.5879037376178689555672463,Other,0.4770962623821310444327537,-430463180094711490896055401.3,100.0000000000000000000000006,Win,-902256450187679926194115639.5
2022-12-22 12:25:00-05:00,128.16,Long,126.38792879185272,133.4762136244418536534794839,-1.291504338117703014291865669E+29,2022-12-22 12:30:00-05:00,129.9320712081472845511598280,Other,1.772071208147284551159827970,-1.291504338117703014291865691E+29,100.0000000000000000000000017,Loss,-7.288106325411052372323960647E+28
2022-12-22 14:55:00-05:00,126.815,Short,127.1566328481313,125.7901014556061147686705226,-7400073852112072913815869912,2022-12-22 15:00:00-05:00,126.4733671518687049228901742,Other,0.3416328481312950771098258,-7400073852112072913815869968,100.0000000000000000000000008,Win,-2.166089675682504571065294635E+28
2022-12-28 09:35:00-05:00,112.13,Long,111.92128468178582,112.7561459546425379585343762,-6.321532936746993457089713831E+28,2022-12-28 09:40:00-05:00,112.3387153182141793195114588,Other,0.2087153182141793195114587434,-6.321532936746993457089715545E+28,100.0000000000000000000000271,Loss,-3.028782453935636773803016035E+29
2022-12-29 10:20:00-05:00,120.575,Long,120.26189541494233,121.5143137551730092127399985,-7.713212619328505659658039487E+29,2022-12-29 10:25:00-05:00,120.8881045850576697375799995,Other,0.3131045850576697375799994916,-7.713212619328505659658039694E+29,100.0000000000000000000000027,Loss,-2.463462046685721182253367359E+30
2022-12-29 13:40:00-05:00,121.92,Short,122.30236804362703,120.7728958691189194496473647,-3.605085107450107608220895925E+28,2022-12-29 13:45:00-05:00,121.5376319563729731498824549,Other,0.3823680436270268501175451,-3.605085107450107608220895838E+28,99.99999999999999999999999759,Win,-9.428311720962264118655953042E+28
2023-01-10 10:45:00-05:00,118.46,Long,118.15466242486478,119.3760127254056550327732111,-3.102474212450113384079154815E+31,2023-01-10 10:50:00-05:00,118.7653375751352183442577370,Other,0.3053375751352183442577370442,-3.102474212450113384079154366E+31,99.99999999999999999999998553,Loss,-1.016080058628941017975942514E+32
2023-01-11 10:30:00-05:00,122.465,Short,122.76933337249412,121.5519998825176492118771421,-1.105122262440192135034000050E+30,2023-01-11 10:35:00-05:00,122.1606666275058830706257140,Other,0.3043333724941169293742860,-1.105122262440192135034000146E+30,100.0000000000000000000000087,Win,-3.631288456416508385012683547E+30
2023-01-24 10:30:00-05:00,143.07,Short,143.4338458297826,141.9784625106522059923008783,-1.972859744909863613862748102E+31,2023-01-24 10:35:00-05:00,142.7061541702174019974336261,Other,0.3638458297825980025663739,-1.972859744909863613862748064E+31,99.99999999999999999999999807,Win,-5.422240914754113354264976054E+31
2023-01-24 10:50:00-05:00,143.75,Long,143.4338458297826,144.6984625106522059923008783,-2.727115130803877355776401610E+32,2023-01-24 10:55:00-05:00,144.0661541702174019974336261,Other,0.3161541702174019974336260930,-2.727115130803877355776401670E+32,100.0000000000000000000000022,Loss,-8.625902764238690462829174780E+32
2023-01-25 10:50:00-05:00,144.075,Short,144.50156664297538,142.7953000710738706402480602,-2.746897991151944339752683776E+31,2023-01-25 10:55:00-05:00,143.6484333570246235467493534,Other,0.4265666429753764532506466,-2.746897991151944339752683833E+31,100.0000000000000000000000021,Win,-6.439551794279678226982253879E+31
2023-01-25 11:00:00-05:00,145.68,Long,144.50156664297538,149.2153000710738706402480602,-2.557310405161041196637357292E+33,2023-01-25 11:05:00-05:00,146.8584333570246235467493534,Other,1.178433357024623546749353409,-2.557310405161041196637357273E+33,99.99999999999999999999999926,Loss,-2.170093361594826105467808478E+33
2023-01-25 11:10:00-05:00,144.325,Short,145.30713301592726,141.3786009522182098407938611,-1.348574612128928567281351135E+31,2023-01-25 11:15:00-05:00,143.3428669840727366135979537,Other,0.9821330159272633864020463,-1.348574612128928567281351124E+31,99.99999999999999999999999918,Win,-1.373107909274077175210769761E+31
2023-01-25 12:15:00-05:00,145.65,Long,145.30713301592726,146.6786009522182098407938611,-1.611916355786907771376391976E+32,2023-01-25 12:20:00-05:00,145.9928669840727366135979537,Other,0.3428669840727366135979536921,-1.611916355786907771376392013E+32,100.0000000000000000000000023,Loss,-4.701287760751417290472701720E+32
2023-01-26 09:30:00-05:00,157.605,Short,158.01816052632535,156.3655184210239622188964859,-1.727408268396342676532559549E+31,2023-01-26 09:35:00-05:00,157.1918394736746540729654953,Other,0.4131605263253459270345047,-1.727408268396342676532559501E+31,99.99999999999999999999999722,Win,-4.180961535120332066750319667E+31
2023-02-01 09:30:00-05:00,173.135,Short,173.7333274198869,171.3400177403392854103003629,-6.416944320336418519702557577E+31,2023-02-01 09:35:00-05:00,172.5366725801130951367667876,Other,0.5983274198869048632332124,-6.416944320336418519702557774E+31,100.0000000000000000000000031,Win,-1.072480402377237148444256173E+32
2023-02-01 09:35:00-05:00,176.19,Long,173.7333274198869,183.5600177403392854103003629,-1.817663218286160687131608726E+33,2023-02-01 09:40:00-05:00,178.6466725801130951367667876,Other,2.456672580113095136766787618,-1.817663218286160687131608713E+33,99.99999999999999999999999928,Loss,-7.398882671627665264064998640E+32
2023-02-02 10:30:00-05:00,187.715,Long,187.3820728734728,188.7137813795816191486665048,-1.725830286429650076835798585E+32,2023-02-02 10:35:00-05:00,188.0479271265272063828888350,Other,0.3329271265272063828888349235,-1.725830286429650076835798982E+32,100.0000000000000000000000230,Loss,-5.183807953506057767361065402E+32
2023-02-08 10:20:00-05:00,200.82,Long,200.18698871967894,202.7190338409631908689334523,-8.519467858886368739837436417E+32,2023-02-08 10:25:00-05:00,201.4530112803210636229778174,Other,0.6330112803210636229778174311,-8.519467858886368739837435999E+32,99.99999999999999999999999509,Loss,-1.345863513611525308474711891E+33
2023-02-21 14:55:00-05:00,197.35,Long,196.98594554622818,198.4421633613154597242100863,-9.145659088883113069611462284E+33,2023-02-21 15:00:00-05:00,197.7140544537718199080700288,Other,0.3640544537718199080700287595,-9.145659088883113069611463302E+33,100.0000000000000000000000111,Loss,-2.512167889756234123671085720E+34
2023-02-23 13:25:00-05:00,200.275,Short,200.71718033860776,198.9484589841767160578456242,-5.899593905811156297369391965E+32,2023-02-23 13:30:00-05:00,199.8328196613922386859485414,Other,0.4421803386077613140514586,-5.899593905811156297369391803E+32,99.99999999999999999999999725,Win,-1.334205388775647481277456698E+33
2023-02-24 10:25:00-05:00,196.2,Short,196.6025247152616,194.9924258542151733308855910,-6.007792357029966873460959387E+32,2023-02-24 10:30:00-05:00,195.7974752847383911102951970,Other,0.4025247152616088897048030,-6.007792357029966873460959314E+32,99.99999999999999999999999878,Win,-1.492527571412697494947643325E+33
2023-03-01 11:25:00-05:00,201.555,Short,202.12164010176588,199.8550796947023695793177467,-1.764965944645331539971578657E+35,2023-03-01 11:30:00-05:00,200.9883598982341231931059156,Other,0.5666401017658768068940844,-1.764965944645331539971578536E+35,99.99999999999999999999999314,Win,-3.114791803730433012877514037E+35
2023-03-01 11:40:00-05:00,203.445,Long,201.96862166194097,207.8741350141770840309618507,-7.165677414803871944805003833E+35,2023-03-01 11:45:00-05:00,204.9213783380590280103206169,Other,1.476378338059028010320616886,-7.165677414803871944805003901E+35,100.0000000000000000000000009,Loss,-4.853550902287335302296441311E+35
